comment,sent,off
ചില തിന്മയെ ജയിക്കാൻ ദേവൻ അയാൾ പോരാ അതിനു അസുരൻ തന്നെ അവതരിക്കണം SHYLOCK TEASER,unknown_state,Not_offensive
ellum shamikkum sunny chechiye villichu veruthi apamanichu vittathu orikkalum shamikkilla film kandavark manasilavum mosham  dialogs,Negative,Not_offensive
Mohanlal fans like here. Trailer maran mass. Uff kidu,Positive,not-malayalam
ikkaaaaaaaaaaaaaaaaa kola mass da i love you mammukkaaaaaaaaaaa,Positive,not-malayalam
എത്ര കണ്ടിട്ടും മതിയാവാത്ത ഒരു അ ടാർ item,Positive,Not_offensive
SUPER POWER PACKED ACTION FILLED TRAILER......,not-malayalam,not-malayalam
Mammuni thendikal ethra dislikes adichalum Raja 8 nilayil pottum,Negative,Offensive_Targeted_Insult_Group
teaser kandit oru  moodum varathathu enikk mathram ano. entho oru lag,Negative,Not_offensive
ഇമ്മാതിരി കഥകളൊക്കെ എടുത്തു കളയേണ്ട കാലം കഴിഞ്ഞു....... ഇനിയെങ്കിലും ഒന്ന് മാറ്റിപിടിച്ചൂടേ ലാലേട്ടാ.....,Negative,Not_offensive
Ith kollaaaam....kanda ooodayp trailer ne kalum ok far better...hiy avanee daiwamee...thall kuranj,unknown_state,Not_offensive
വെയ്റ്റിംഗ്  ഫോർ  ആ ത്രില്ലെർ,not-malayalam,Not_offensive
MAMANGAM GETTING EXCELLENT REPORTS FROM AUDIANCE AND FAMILY,not-malayalam,not-malayalam
68 വയസ് തന്നെ ആണോ  ഇക്കക്ക് 🤔,unknown_state,Not_offensive
Thokk,Mixed_feelings,Not_offensive
എന്തൊന്നാട ഇത് എല്ലാ സിനിമയും ഒരു പോല ഒരു ചെ യ്ഞ്ച്ക്കൊ വെണ്ടെ,Negative,Not_offensive
മാസ്സ് എന് പറഞ്ഞപ്പോൾ ഇത്രെയും പ്രതീക്ഷിച്ചില്ല ന്റെ മോനെ വേറെ ലെവൽ  uff,Positive,Not_offensive
Mamangam on Nov 21st.. in 4 language....,not-malayalam,not-malayalam
1:15 ee scene kanditt Lucifer movieyil lalettante karanathu adikkumbol lalettan nokkunnathayi thonniyavar ivide like,unknown_state,Not_offensive
അഭിനയ കലയുടെ ആറാം തമ്പുരാൻ. ഏട്ടൻ ഉയിർ,Positive,Not_offensive
Njan A10 Fan ann but ikka pwolikkum katta waiting,Positive,Not_offensive
E padathodu koodi tovino Thomas super star,Positive,Not_offensive
I am from karikkottakkari... But iam a big fan of mammoookkaa,unknown_state,not-malayalam
Vijay baby sir adipoli trailer sir.....,Positive,Not_offensive
Super movie.. undayum illa oru andiyum illa,unknown_state,Not_offensive
Solid commercial entertainer :) gr8 cuts :),not-malayalam,not-malayalam
സേഖരാ..അന്റെ ബാസക്ക് ഒരു സുദ്ധി വന്നിരിക്കുന്നു പഹയാ ..,unknown_state,Not_offensive
0:37 eee bgm kittam valla vayiyum undo....,unknown_state,Not_offensive
Poka pattiya trailer padavum inganayal nallath,unknown_state,Not_offensive
Lalettanu mass kanikkan oru chaya glass thanne dharalam,Positive,Not_offensive
orkkunno pand ONE WAY TICKET enna padathil Prithvi Ikkayude Fan aayi Vannath...,unknown_state,Not_offensive
Good work done by dop ..,not-malayalam,not-malayalam
yeah kollam surya tvil verunna serial polea und..,Negative,Offensive_Targeted_Insult_Group
Trailer adipoli anne paranjal pora vere levala,Positive,Not_offensive
0:56 യേശു നമുക്ക് അറിയാത്ത ആളൊന്നും അല്ലല്ലോ.,unknown_state,Not_offensive
റീലിസ്‌റ്റിക്കിനു കയ്യും കാലും  വെച്ച ഐറ്റം,unknown_state,Not_offensive
ചാവേർ വരവ് അറിയിച്ച സ്ഥിതിക്ക് ഇനി വരാനുള്ളത് മൂപ്പരാണ് അസുരൻ   ᴛʜᴇ ᴍᴏɴᴇy ʟᴇɴᴅᴇʀ,unknown_state,Not_offensive
Cinema de field  l ippo  nadakunna pala karyangalm edhil ond..super excited,Positive,Not_offensive
സാമ്പിൾ വെടിക്കെട്ട് അല്ല. ഇതു ഒറിജിനൽ വെടിക്കെട്ട് തന്നെയാ.,unknown_state,Not_offensive
Ittimani  mass ahnn manasuman,unknown_state,Not_offensive
Eee padam super hit aavumennullavar adi lyk,unknown_state,Not_offensive
shuger raja fance onnu virachu alle.ithokke endh varan pokunnathanu mone pooram,Negative,Not_offensive
`pritvi recent interview story  tread parjirunnu ethndu  main katha  thnnea appol vichrichtha egeruthnnea allea producer ennu ennitum entha ethu ok parnju padathe kollunthu ennu ee  cimail ulla ageruda confidance anu ennu trailr kandapola mansil ayathu,Positive,Not_offensive
Thalli thalli kure ayallo oru padamenkilum vijayippichu kanikku kidannu thalli marikkathe,Negative,Offensive_Untargetede
മലയാള സിനിമയുടെ പരിധികൾ അങ്ങനെ അവസാനിച്ചുകൊണ്ടിരിക്കുന്നു. ഈ സിനിമ ഒരു മഹാ വിജയം ആകുമെന്ന് ഒരു മലയാളി എന്ന നിലയിൽ വിശ്വസിക്കുന്നു.,Positive,Not_offensive
ഇറങ്ങിയിട്ട് ഇന്നേവരെ എല്ലാ ദിവസവും ഇവിടെ വന്നു കാണുന്നവർ ലൈക് അടി,unknown_state,Not_offensive
Trailer il kozhi poittu kozi pooda polumillalo,Negative,Not_offensive
L2  EMPURAN LOADING SOON..KALLI THEERNILLA MAKKALLE .,Positive,Not_offensive
Fahadh ikkkkaaa....ninga nammale ingane snehikallle..... Kattta fan aane.... Enthumaathram nalle cinemaya....eee kurach naalukal...njan cinema aasudichoo...... Ente prashnangal marannu njaan... Ningade cinema kandooo...thanks ikka...,Positive,Not_offensive
Undayude trailer june 20 shesham kanunnavrundo,unknown_state,Not_offensive
njan oru ikka fanannengilum lalettan onnam polikatte,Positive,Not_offensive
പരുന്തിന്റെയും പുത്തൻ പണത്തിന്റെയും അവസ്ഥ വരരുത് പടച്ചോനെ .,Mixed_feelings,Not_offensive
E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..,Positive,Not_offensive
Teaser kandappol onnu pathari pakshe trailer kiduuveee,Positive,Not_offensive
Freezernte  ullil trap avunnu climax raksha pedunnu atra thanne film,unknown_state,Not_offensive
Box office ne kollaaame vidamatte,Positive,Not_offensive
Rajuettan illathu oru porayima anu jai vendarunnu paksha sambavom kollam,Mixed_feelings,Not_offensive
Manju warier thamilnadu fans  like potunka,not-malayalam,not-malayalam
Ethi poy  sec nokki nikkunnavar adi muthe like,unknown_state,Not_offensive
Maoist alla avnte achn vare namml adich odikkum ikkaaa,unknown_state,Not_offensive
Kalki ..kalakki. best wishes from Nivinfans Palakkad unit..,not-malayalam,Not_offensive
Shane nigam... im a big fan of u! love u man,not-malayalam,Not_offensive
Psycho movie ano enn oru samshiyam!!🤔,unknown_state,Not_offensive
Eattan fanzz koode ind...ninga polikk ikkkaaaa,Positive,Not_offensive
padam hit.....pani ariyavunnavar film pidichal trailer kandalum goosebumps varum,Positive,Not_offensive
Pwolichu..oru expectationum illathondu ithu kandu kannu thallipoyi.no reksha kidukkachi..,Positive,Not_offensive
100 crore Box office gross collection നേടിയതറിഞ്ഞു വന്നവർ ഉണ്ടോ,Positive,Not_offensive
Powlichu oru resha illa padam kidu,Positive,Not_offensive
Adipoli Trailer.......   parayaan Vaaakkilaa  Lalettan fans like here,Positive,Not_offensive
Ore oru rajavu lalettan  🥰 10 million views aakum,Positive,Not_offensive
നിനക്കിനി മലയാളം ഇൻഡസ്ട്രിയിൽ കിടന്ന് പോളയ്ക്കാൻ പറ്റുവോ എന്ന് തോന്നുന്നുണ്ടോ ബോസ്സേ 100cr വേൾഡ് wide...ചരിത്രമെഴുതി  #മാമാങ്കം  ചരിത്ര നായകൻ ആണ് ചരിത്രം ആണ് ചരിത്രം  ആകും എന്ന് പറഞ്ഞത് അല്ലെ   Next Shylok,unknown_state,Not_offensive
Ithinthe like kurayunnund kurachu mumb 184k undaayirunu ippol 117k ullu enthaa sambavam,unknown_state,Not_offensive
Inn Lucifer inte 27th poster kand nere ingott trailer kaaanan vannu 1:34🤗🤗🤗,Positive,Not_offensive
Nalu bengaligal nalu sidum manuvari ital therunathe ollu ninta japan,unknown_state,Not_offensive
ന്റെ പൊന്നേ രാജുവേട്ടാ ഉമ്മാ....  ഇത് മിന്നിക്കും,Positive,Not_offensive
Mamookkante adutha pappada vandi varunney..........ini trollers njan oru prithvi fan anu.....enikk marupadi ayitt laalappane theri vilichal enikk verum mudi anu.....for me mammunni is a chaliyan and laalappan is a valiyan,Negative,Offensive_Targeted_Insult_Individual
Padam vijayikkatte  Njan oru ikka fan aanu,Positive,Not_offensive
Trailor kandaal thanne ariyaam padam thamarthum,Positive,Not_offensive
Venda kutaaa... Urutaaam.....  Tovino ishtam🥰 Katta waiting,Positive,Not_offensive
Mmde thrissorattaa ithu polikutta gaddye joju chemban polichu,Positive,Not_offensive
Kodukke makkalllee ikkakkee oru like,unknown_state,Not_offensive
ഇത് ഒരു പൊളി പൊളിക്കും മമ്മൂക്ക,Positive,Not_offensive
0:52 ഇത് മുഴുവൻ ഉണ്ടാക്കിയെടുത്ത ഈ മൊതലിന് എത്ര ലൈക്,unknown_state,Not_offensive
മഞ്ജു ചേച്ചിക്ക് പൂന്തു വിളയാടാൻ പറ്റിയ സിനിമയാണെന്ന് തോനുന്നു,Positive,Not_offensive
Ee padathintae trailer adhyam thetaril kandavar adi like,unknown_state,Not_offensive
മാമാങ്ക മഹാമഹത്തിന് ..ശേഷം മമ്മൂക്കയുടെ ..അസുരാവതാരം SHYLOCK....w8ingg,Positive,Not_offensive
ലാലേട്ടൻ ഉയിർ ഇവിടെ അടി അടി like,unknown_state,Not_offensive
Ente ponnoo ijjathii marana masss,Positive,Not_offensive
Oru nadan ennnu paranjal idhayirikkanam inghene aayirikkanam Mammootty enna nadan or mahanadanakunnadhu  adheham ore cenemayilum pudhiya roopathilum bhavathilum nammal idhuvare kanantha kadhapatrangalai adhheham performance cheyyubol enikku thonunilla Indian cinrmayil itrem vtysthadhayil abinayikkunna nadamar undannu. Abhinayikkan aarkkum kazhuym oru valiya taramakanu famous aakanumokke kazhiyum pakshe oru nadanakaan idhehathine patooo,Positive,Not_offensive
Kuru pottikkan aarum varanda...ith vere level aan makkale,Negative,Not_offensive
E Assasincreed  te trailer 2019 lu knnunavr etra perund,unknown_state,Not_offensive
ഈ Trailer 1M അടിക്കും എന്നുള്ളവർ Like ചെയ്തിട്ട് പൊയ്ക്കോ,unknown_state,Not_offensive
ഇവിടെ 6 മണി ആവാൻ കാത്തതിരുന്നത് ഞാൻ മാത്രമാണോ,unknown_state,Not_offensive
Mohanlal ee 100crore kayarumen urapp ullavar like adi,unknown_state,Not_offensive
Raju ettan kurve  nallonm thonnunde,Negative,Not_offensive
Usa ok india no.  fahad ikaaa,unknown_state,Not_offensive
Dislike adichavanmar enth kandittanavo......ee trailer thanne aano aavo kandath....,Negative,Not_offensive
6k dislikes.. Guhan fans Karanju Mezhukal aanallo,Negative,Offensive_Targeted_Insult_Group
Oru onnonnara item varunnundu ready ayi ko makale...luving mammookka..,Positive,Not_offensive
kidu padam jst watched ponnikka ingala maranamass aanu,Positive,Not_offensive
അതിരടി  മാസ്സ്,Positive,Not_offensive
Mohanlal fans like here .... Ettan maaasss aanu,Positive,Not_offensive
ഇംഗ്ലീഷ് സിനിമയിൽ നിന്ന് അടിച്ചു മാറ്റിയ കുറേ സീൻ,Negative,Not_offensive
Padam polikkum nnu manasilakiyavar like adi,unknown_state,Not_offensive
Devika +2 Biology chechi undu !!!,unknown_state,Not_offensive
Moving to 400k+ likes & 5M+ Views,not-malayalam,not-malayalam
1.35 secondil purakil nilkunnath rajuvettan ano?,unknown_state,Not_offensive
Voice modulation കേട്ട്  ബിലാൽ  ഇക്കയെ  ഓർത്തവരുണ്ടോ  ഇജ്ജാതി  item,Positive,Not_offensive
ഇത് കാണുന്ന എന്നെ പോലോത്ത ഒരു പാവം കുങ്ഫുകാരന്റെ രോമാഞ്ചം 🤩,Positive,Not_offensive
Nammade laletttante LUCIFER anu athukum mele  LALETTAN FANS LIKE HERE,Positive,Not_offensive
Mammookka..... Uff ijjathi .. Ente ponnikkkaa polichuuu.... Katta waiting,Positive,Not_offensive
സൂപ്പർ ട്രൈലെർ.. ട്രൈലെർ കാണുമ്പോൾ തന്നെ അറിയാൻ പറ്റുന്നുണ്ട് എത്ര സീരിയസ് ആയി ഈ സിനിമയെ ഗീതു മോഹന്ദാസ് ആൻഡ് നിവിൻ പൊളി മറ്റുള്ള എല്ലാ അണിയറപ്രവർത്തകരും സമീപിച്ചിരിക്കുന്നു എന്ന്.. ഗുഡ് ജോബ് ടീം  Nb: ഒരു വീഡിയോക് ലൈക് or  ഡിസ്‌ലൈക്ക് കൊടുക്കുന്നത് കാണുന്നവരുടെ സ്വാതന്ത്ര്യം തന്നെ എങ്കിലും ഇത്ര മികച്ച ട്രൈലറിനും 1k യിൽ കൂടുതൽ ഡിസ്‌ലൈക്ക് ഉണ്ടെങ്കിൽ അത് കേവലം ഗീതുവിനോടോ അവരുടെ നിലപാടുകളോടോ ഉള്ള വെറുപ്പ് ആണെന്ന് മനസ്സിലാവുന്നു.. ഇങ്ങനെ ഡിസ്‌ലൈക്ക് അടിക്കുന്നവരോട് പുച്ഛം മാത്രം.. കഴിവിനെ അംഗീകരിക്കാൻ പഠിക്കുക ആദ്യം.,Positive,Not_offensive
KATTA  ETTAN FANS CANT SCROLL WITHOUT LIKING AND SUBSCRIBING THIS POST  AND ME,unknown_state,not-malayalam
വെറുതെ അല്ല പറങ്കികൾ പോയി ബ്രിട്ടീഷ്കാർ വന്നത്,unknown_state,Not_offensive
SC @yousef.khan  ....add me :),not-malayalam,not-malayalam
2020ൽ കേൾക്കുന്നവർ ലൈക്‌ അടിച്ചിട്ട് പോണം മിഷ്ടർ,unknown_state,Not_offensive
വില്ലനെ കാണുബോൾ ഫഹദ് ഫാസിലിനെ പോലെ തോന്നിയത് എനിക്ക് മാത്രം ആണോ,unknown_state,Not_offensive
എജ്ജാതി പടം <3  ഫസ്റ്റ് ഡേ കണ്ടവരുണ്ടോ ?,Positive,Not_offensive
Oru addar item koodi iyye padathill varan nde athe mikkavarum last avum arayya...... Twist.......,Positive,Not_offensive
ഈ ഓണം ഇട്ടിച്ചായൻ കൊണ്ടു പോകും എന്ന് ഉറപ്പുള്ള ഇക്കാ ഫാൻസ് ആരെങ്കിലും ഉണ്ടെങ്കിൽ ഇവിടെ,unknown_state,Not_offensive
ഓഹൊ എന്ത് പറഞ്ഞാലും ഏട്ടന്റെ നടപ്പെ,unknown_state,Not_offensive
50 k likes in 40 minutes,not-malayalam,not-malayalam
Adipoli immadhiri uff a pullinte voice a bikshakaran aan trailer haram akiyadh,Positive,Not_offensive
feel good  shane soubinikka sreenad bhasi pinna nmmda fahadikkaa pworikkm,Positive,Not_offensive
Da chekka nee poliya bony parayan paranju,Positive,Not_offensive
release nalle....kanaan povvunnavar ...plzz like...palettan katta fans,unknown_state,Not_offensive
കിടുക്കാച്ചി പടം ആയിരിക്കട്ടെ എല്ലാവിധ ആശംസകളും നേരുന്നു,Positive,Not_offensive
Mohanalal movies 100crore 200crore ennu parayumbol viswasikum  Ldf sarkar in kerala and  bjp sarkar in india  Ghajanavil koodikal und rajyam super akan pokunu keralam super akan pokunu elam ok anenu paranjal viswasikila🤣🤣🤣 Thomaa issac inu pakaram Antony perumbavoor ayiurnenkil next electionum ldf jaichene.,Negative,Not_offensive
Odiyan 2  Trailer,unknown_state,Not_offensive
Poli trailerrr  Padam kanaan mood canhu,Positive,Not_offensive
Kattakk wait cheyyunnavarkk like adikkan ulla stalam.. 🤩,unknown_state,Not_offensive
സലിം കുമാർ ആകെ ഒരു second മാത്രേ trailer ൽ ഉള്ളൂ... But....🤩🤩,Positive,Not_offensive
We want old    DILEEPETTAN,not-malayalam,not-malayalam
Da ikka da mass da ikka ummmaaaa,Positive,Not_offensive
ആരാണ് stunt choreography എന്ന് അറിഞ്ഞാൽ കൊള്ളാമായിരുന്നു,unknown_state,Not_offensive
ഈ ഡയലോഗ് മമ്മൂക്കയാണെങ്കിൽ പൊളിക്കുമായിരുന്നു.. ഇത് ലാലേട്ടൻ ആരെയോ ട്രോളുന്നത് പോലെ ഉണ്ട്..ഇങ്ങൾ സീരിയസ് മൂവിയെ  അങ്ങ് കോമഡി മൂവി ആക്കി അല്ലോ..,Negative,Not_offensive
Muzhuvan ipo kanikunila. Baki theatril kanaam,unknown_state,Not_offensive
Trailer te last onn njettipoyi,Positive,Not_offensive
Pattu kanditt kurach chaliyum unden thonnunnu pottathirunna mathiyayrnu,Mixed_feelings,Not_offensive
Pakkaaa boar dialogue ith evdatha basha aan enn priuadarshanu mathram aryollu,Negative,Not_offensive
Pappanum shameerum eee varavil ichiri serious anu,Mixed_feelings,Not_offensive
Oru shot Kottayam vazhi poyath njan maathrame kandollo? @ 0:44,unknown_state,Not_offensive
Joju ithavanem porikum On fire,Positive,Not_offensive
833 dislike ഉണ്ട് ഇന്നലെ ഇന്ന് നേക്കുമ്പോൾ 233 അത് എങ്ങനെ,unknown_state,Not_offensive
Boss is coming soon.. Mass ka baap,not-malayalam,not-malayalam
Lalettan is superb.......Love from Sri Lanka.,not-malayalam,not-malayalam
Naal bangalikal randu sidl ninn Mann vAaari kadaliltta teeranthe ullu ninte jappan,unknown_state,Not_offensive
Poli poli polichu mass mass mass maranamass,Positive,Not_offensive
Njan matramanoo trailer il prithviraj ne kandanthu. . . .  Kandavar like adiche..,unknown_state,Not_offensive
ഇ പലിശക്കാരൻ മുതലും പലിശയും കൂട്ടു പലിശയും വാങ്ങിച്ചിട്ടേ ബോസ്‌ഓഫീസ് വീടു,Positive,Not_offensive
Ettan kurch koode perfect akum enn vicharikunu by H,Mixed_feelings,Not_offensive
Mammokka Ennum oru lahariyaanu.Annum Ennum athbudappeduttiyittey ullu. Padam oru vambhan hittakum..minimum 250cr  kadakkum..lookam vaaythum mammotty enna,Positive,Not_offensive
From 0:33 Mega mass...  Megastar next Blockbuster,not-malayalam,Not_offensive
Satyam paranjal trailer pora Laila o Laila pole und,Negative,Not_offensive
Ith adipoli padaman ..njan kandu polichadukki ee padam kandavar like adikkukka,Positive,Not_offensive
addipoly padam machane  namude kochikaru kalakki,Positive,Not_offensive
Mass okeyanu... Over akathirunna mathyarnu... Malayalathil oru mass police Padam kandit ethra kalayi... Minnichekane...,Mixed_feelings,Not_offensive
Enta ponnu pappan chetta......e Xmasinu engilum onnu erakko aanaye.......???waiting...waiting....waiting...waiting.......waiting...,unknown_state,Not_offensive
ട്രെയിലറിന് ഒട്ടും impact ഇല്ലാലോ.. എവിടെയോ എന്തോ mistake..,Mixed_feelings,Not_offensive
Lalettan .  Lalettan fans ellarum like adikk. Enitt Pewdiepie kk subscribe cheyy,unknown_state,Not_offensive
SHarafudheen Trailer lu ilyaalo  Athinartham Vilian Avan anenn aanno  ?,unknown_state,Not_offensive
Ikkenem akkenem kanan vannavar like adi...,unknown_state,Not_offensive
എന്റെ കൊച്ചു ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യൂ,unknown_state,Not_offensive
ഒരുപാട് ആക്ഷൻ മൂവിസിന് ശേഷം പഴയ മോഹനലാലായി തിരിച്ചു വന്നിരിക്കുന്നു  ലാലേട്ടാ സൂപ്പർ,Positive,Not_offensive
ലാലേട്ടാ പൊളിച്ചു ... super  ഓണം ഇട്ടിമാണിക്കൊപ്പം... waiting for september 6,Positive,Not_offensive
ഇട്ടിമാണി 8 നിലയിൽ പൊട്ടും എന്ന് ഉറപ്പുള്ളവത്  എനിക്ക് മാത്രം ആണോ 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Negative,Not_offensive
ഇങ്ങേർ ഏതു വേഷം അണിഞ്ഞാലും എന്താ സ്റ്റൈൽ  ഇക്ക  ഇന്നത്തെ യൂത്തർ പോലും ഒരു പിടി ബാക്കിൽ നിൽക്കണം അജ്ജാതി മൊഞ്ചൻ  അന്നും ഇന്നും ഇക്ക മാസ്സാണ്,Positive,Not_offensive
Padikkunna samayath inghanathe oru vattan maashine kittiyaal mathiyaayirunnu,Positive,Not_offensive
kidilam......ithrem  nalla  trailer  irangiyitt   kureyyaayi,Positive,Not_offensive
Padam Super Hit aakunna lekshanam unde.but trailer kandittu onnum parayaan patilla.Ennalum Padam polikkum ennu thonunnu,Positive,Not_offensive
Nammal aaytt arudeyum nenjath kerarilla siree,unknown_state,Not_offensive
Ee trailerile scenes kure onnum padathil illa,unknown_state,Not_offensive
പടം കണ്ടിട്ട് വന്നവർ ഇവിടെ കമോൺ,unknown_state,Not_offensive
പോരാ   മോഹൻ ലാലിന്റ  അടുത്ത  ഒടിയൻ,Negative,Not_offensive
ട്രൈയിലർ കണ്ടിട്ട് രാജുവേട്ടനെ കടത്തി വെട്ടുന്ന അഭിനയം മാണല്ലോ സുരാജേട്ടൻ കാഴ്ച്ച വെക്കുന്നത്,Positive,Not_offensive
This looks like srk movie FAN,not-malayalam,not-malayalam
ജോജു ചേട്ടൻ പൊളിയാ   അല്ലെ മക്കളേ,Positive,Not_offensive
Lalettan  nthaaa lukkkk Lalettan fans like me,unknown_state,Not_offensive
Chilappo thonnal aayirikkum.. last part okke kandappo oru SERIAL mood thonniyaayirunnu.... Chilappo thonniyathu aayirikkum,Mixed_feelings,Not_offensive
Thala Ajith Kumar viswasam  Intro,unknown_state,Not_offensive
കട്ട മമ്മൂക്ക FANS Like അടിച്ചു പൊക്കോ കാണട്ടെ Fans Power,unknown_state,Not_offensive
Waitingപരസ്പരം ഉള്ള ഈ ഡീഗ്രേഡിങ് തെറി വിളി ഒക്കെ എന്ന് തീരുമോ എന്തോ,Negative,Not_offensive
Suraj venjaramood  Big fan from tamilnadu...  Adi poli acting,Positive,Not_offensive
Waiting for Malayalam movie  For Tamil paiyan,not-malayalam,not-malayalam
Ennikill Oru 10 like ikkaye istamulvar please,unknown_state,Not_offensive
കാസർഗോഡ് ഭാഷയിൽ ഇതുപോലെ ഒരു പടം വന്നിരുന്നു ഓർക്കുന്നുണ്ടോ...m,unknown_state,Not_offensive
കിങ് മേക്കർ ജോഷി സാറിന്റെ വൻ തിരിച്ചുവരവാകട്ടെ ഈ ചിത്രം എന്നാശംസിക്കുന്നു,Positive,Not_offensive
Ee Movie 1st Show Kananam Ennu Aagrahikkunna Ethra Per Ind ' Eattan Fans Adi Likes,unknown_state,Not_offensive
Kidu trailer mammukka ithil 100 kodi urappu anu #justus143,Positive,Not_offensive
ഓരോ ടൈപ്പ് മനുഷ്യന്മാർ അല്ലേ മോളെ  ഷമ്മി ഹീറോ ആടാ ഹീറോ  ഫഹദ് ഇക്ക സൗബിൻ ഇക്ക,unknown_state,Not_offensive
Joby annan ഷൈൻനായിട്ടൊരു  ഡയലോഗ്  കുത്തിക്കേറ്റിയതാ.എന്തായാലും valiyaperunnalile ഡയലോഗിന്റെ  അത്രേം വരില്ല.വലിയപെരുന്നാൾ,unknown_state,Not_offensive
മാസ്സും മരണമാസും i am thrilled കട്ട വെയിറ്റ്,Positive,Not_offensive
Njan Ettan fana ennaalum paraya e padam polikkum,Positive,Not_offensive
അതെ ഇവിടെ രാജീവ്‌ രവിക്ക് ലൈക്‌ അടിക്കാൻ ആരുമില്ലേ  Rajeev Ravi Geethu Mohandas  Nivin Pauly,unknown_state,Not_offensive
ഇത് പൊളിക്കും.  ഇനി ആണ് കളി. സ്റ്റൈൽ മന്നൻ,Positive,Not_offensive
മലയാള സിനിമ പഴയ മലയാള സിനിമയല്ല... പക്ഷേ ജോഷി പഴയ ജോഷി തന്നെ ആണ്...,unknown_state,Not_offensive
aadhyamayittanu oru nmalayala sinimayude trailer ithrayum dhivasam trendingil nilkkunnath !,Positive,Not_offensive
Ithu 100 core klubil kerumennu urappullavar like adilk,Positive,Not_offensive
നല്ല ഊമ്പിയ bgm ടു ട്ടു ടു ട്ടൂ...,Negative,Offensive_Untargetede
.പ്രതിസന്ധികളെ മറികടന്ന് വെല്ലുവിളികളെ തരണം ചെയ്ത മലയാളത്തിന്റെ ലേഡി ഹീറോയിൻ മഞ്ജുചേച്ചി.,Positive,Not_offensive
madhura raja trailer kandu.athinte hangover maran lucifer trailer repeat adichu kandu.ippozha samadhanamaye!,unknown_state,Not_offensive
ആദ്യമായി ഒരു ട്രെയിലർ അടിച്ചു കണ്ടു,Negative,Not_offensive
ആ കണ്ണ് ഇറുക്കൽ 10ൽ കൂടുതൽ തവണ കണ്ടവരുണ്ടോ,unknown_state,Not_offensive
കത്തി പടം ആകും.  അജയ് വാസുദേവ് അല്ലെ.  Waste,Negative,Not_offensive
Nte ponnu vineethetta ningaloru jinnan,Positive,Not_offensive
ഇക്കാനെ സ്നേഹിക്കുന്നവരും പൗരത്വത്തെ എതിർക്കുന്നവരും ഇവിടെ ലൈക് അടിക്കൂ,unknown_state,Not_offensive
ഇല്ലാ.. ഞങ്ങടെ ആന്റണി ചേട്ടൻ പറയാതെ ഞങ്ങൾ ഇതു  വിശ്വസിക്കില്ലാ.. പൂജപ്പുര കാവിലമ്മ ആണേൽ ഷത്യം...,Negative,Not_offensive
Lalettaa!!! Raju chettai. .. such a promising trailer!!!  RONJAAAMAM!!!!,Positive,Not_offensive
kandittum kandittum mathi aakunnilla,Positive,Not_offensive
enthokeyo evdakayo oru thakarar pole... ennalum kolaam...,Mixed_feelings,Not_offensive
